ID,2_1,2_2,2_3,2_4,2_5,2_all,3_1,3_2,3_3,3_all,4_1,4_2,4_3,4_4,4_all,5_1,5_2,5_3,5_4,5_5,5_6,5_all,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_all,7_1,7_2,7_3,7_4,7_all,all
94,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3,3,3,2,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4
95,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,3,4,5,4,4,4,4,4,5,5,5,5,5,4
96,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,5,4,4,3,4,4,4,3,3,4,3
97,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,5,4,4,4,4,1,4,4,4,2,3,3,3,4,4,2,2,3,4
98,4,4,4,4,4,4,5,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2
99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
100,4,4,3,2,4,3,2,2,3,2,4,4,2,2,4,4,2,3,3,3,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2
101,3,3,3,2,4,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,4,5,4,4,5,4,5,3,5,5
102,2,2,2,2,3,3,2,2,3,2,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,4,2,4,3,3,4,5,4,3,2,2,3
103,3,3,3,4,4,3,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4,3,3,3,1,3,4,4,3,3,3,3,4,3,1,4,3,4
104,4,4,4,2,4,4,5,4,5,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,2,4,3,5,3,4,4,3,5,4,2,2,3,4
105,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4
106,3,4,3,4,3,3,4,2,4,3,3,4,4,3,4,3,4,4,3,3,2,2,3,3,3,2,3,4,2,2,2,4,3,3,2,2,2,3
107,2,2,2,4,4,2,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,4,4,4,5,4,4,4,5,5,5,5,5,5
108,3,4,4,3,4,4,4,4,5,2,3,5,5,4,3,5,5,5,5,5,5,5,4,4,3,1,4,4,4,2,2,4,4,4,2,2,3,4
109,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4
110,2,3,3,5,4,4,3,3,3,2,1,1,3,5,1,4,4,4,4,4,3,3,1,1,1,3,4,4,4,3,3,3,3,1,3,3,4,2
111,2,4,4,4,4,4,3,4,3,3,5,5,5,5,5,5,5,5,3,5,3,1,3,1,4,5,5,5,4,4,2,3,5,5,5,1,3,4
112,4,2,3,4,4,3,4,4,4,3,5,5,5,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,4,3,3,4,4,4,4,4,4,4
113,2,3,4,5,4,3,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,4,2,2,3,2,4,4,4,3,3,4,4,4,2,2,3,3
114,2,3,3,2,2,2,3,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,3
115,4,4,4,3,3,4,3,3,3,3,4,5,5,5,4,5,5,5,5,4,4,4,3,3,1,4,4,4,4,4,2,4,4,4,2,3,3,2
116,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,4,5,5,2,2,4,5
117,4,4,3,4,4,3,4,3,4,3,4,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,3,3,3,3,3,3,4,4,3,3,4,4
118,2,2,1,3,3,3,3,3,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
119,4,4,4,4,4,4,2,2,3,3,5,4,3,4,4,5,5,5,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,3,4,2,2,3
120,4,4,4,4,4,2,4,4,4,4,4,4,5,4,4,5,5,3,5,5,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4
121,2,3,3,3,4,2,4,4,4,2,3,4,5,4,4,5,5,5,5,5,3,3,2,2,5,4,4,4,3,3,3,3,5,4,2,3,3,4
122,3,4,4,4,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,3,4,5,5,5,4,4,5
123,3,3,3,4,4,3,3,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4
124,2,2,3,3,4,2,3,3,4,4,4,5,4,4,3,5,4,3,4,4,4,4,3,2,5,3,3,3,4,2,2,4,4,4,4,2,3,4
125,4,4,5,4,4,4,3,3,3,3,3,5,5,2,5,4,4,3,5,4,4,3,3,3,5,4,4,4,4,3,3,4,5,4,4,4,4,4
126,4,4,4,4,4,4,4,3,3,3,4,5,5,4,4,4,3,5,4,2,2,2,1,1,5,3,3,5,3,3,3,3,3,3,3,3,3,2
127,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5
128,4,4,3,5,4,4,4,4,5,5,4,4,5,4,3,5,5,5,4,5,3,3,3,3,5,4,3,4,3,3,3,3,3,3,2,2,2,3
129,4,4,3,4,4,4,2,2,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,5,1,4,3,3,4,3,5,4,5,5
130,2,4,2,4,4,3,3,2,3,2,5,5,3,5,5,5,5,5,4,3,3,3,2,2,4,3,3,4,4,3,3,3,3,3,2,3,3,3
